x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0.02680083,0.029247292,-0.041432089,-0.561976595,-0.199335506,-1.578569778,-0.204403141,-0.816934904,-0.675831354,-0.060776024,-1.017800491,-0.695486556,-0.508223505,-0.671380582,-0.046852369,-0.382071258,0.095879368,0.448395995,0.029909233,-0.463012999,-0.165819974,-0.9205623,-0.189155746,-0.616997112,-0.755055466,-0.651029104,-0.335919007,-0.023598974,-0.349148536,0.195673517,0.885072867,0.480477657,-0.336909532,-0.860419131,-0.213354769,-0.89649082,-0.261448957,-1.426471707,-0.62655009,0.224913483,-0.039542182,-0.948488199,-0.41120729,0.063770583,0.275489157,-0.330730367,0.154134206,-0.036145191,-0.288406452,-0.801907555
1.390830056,0.360444954,0.810272304,1.745073488,0.59897396,0.738764149,0.267347346,1.940273485,1.656442256,1.038049948,1.301061444,0.663911961,1.917194882,2.096533798,0.825925092,1.308618685,0.851097335,1.458396499,1.340027434,1.20053395,1.47929168,1.82394486,1.521432237,1.087981088,0.792161508,1.128111067,1.803552586,1.347279689,1.980464081,1.091934925,0.458674757,1.167850889,1.184786012,0.723480122,1.570649176,0.352947054,1.857343664,1.340307763,0.691742727,0.579046256,1.359655921,1.891312951,1.117755053,0.48311951,0.826514184,1.187719135,1.334348036,0.932389794,1.147670489,0.922346887
-0.888293109,-1.152991253,-1.061346309,-0.492166928,-0.32187829,-0.729076691,-0.832957278,0.276951451,-0.4153955,-0.158532458,-1.111640494,-0.419278413,-0.75860437,-0.829517092,-0.201369181,-0.450874891,-0.721880092,-0.726512792,-0.883675541,-0.565264549,-0.344021262,-1.151241485,-0.956592042,-0.5209846,-1.520812017,-0.372827864,-1.231984757,0.058780506,-0.325763415,-0.486478948,-0.691214424,-0.768851195,-1.181449502,-1.322755986,-0.055314866,-0.723960029,-0.245938991,-0.921021973,-1.00930915,-0.600715278,-0.831724606,0.01850206,-0.826167177,0.08380572,-1.423868625,-0.229580812,-1.379661006,-0.88821053,-0.341244759,-0.479743618
0.250384663,-0.089830557,-0.308013492,0.730045068,-0.928572978,-0.425285715,0.636004864,-0.483899254,0.327426819,-0.15664763,0.745722975,-0.204313934,-0.094458214,-0.075063209,0.103821755,0.683658339,0.037054373,-0.013328389,-0.218525511,-0.038401442,-0.324443409,0.275916161,-0.265326032,0.042656776,-0.108078472,-0.718580902,-0.320593266,0.000859474,-0.164152178,-0.066616495,-0.497031628,-0.125585534,0.869090944,-0.406951402,-0.230047998,0.410534609,-0.212705579,-0.347703546,-0.628010277,0.044572732,0.369167618,-0.186737791,-0.012629848,0.368594089,0.784132704,-0.50694088,-0.104157637,-0.041953624,0.167805712,-0.554654551
0.794576566,0.494118561,0.938389641,1.25609652,0.871794838,0.58387565,0.921334937,0.322985799,1.063157585,1.355347081,1.339748852,0.997609716,1.015442269,1.585382852,1.153367664,0.839695169,1.746446837,0.570305367,0.209890105,1.479134058,1.456177299,1.364296965,1.42295483,0.863623563,0.904052101,0.309879631,1.643849103,0.89013357,1.449722144,0.77635291,0.1968714,1.89630896,1.122832631,1.091298164,1.190667467,0.579889947,0.669548288,0.562671326,0.897364982,0.769612425,0.454248867,-0.146993854,1.028584556,2.081074407,0.729438674,0.736906534,0.756655579,0.625024885,1.049395928,0.091673012
-1.12518419,-1.712748949,-1.393708727,-1.524934038,-1.610263719,-1.751934495,-1.476135227,-1.859445009,-1.426833152,-1.383718016,-2.236837181,-1.402668746,-2.0932018,-1.437290045,-1.572263511,-2.408672843,-0.908023786,-1.118089582,-1.713453575,-1.639287619,-1.584088247,-1.371507376,-1.149308923,-1.187810264,-1.844938432,-1.884022519,-1.624976545,-1.519740485,-1.914080273,-1.117065886,-1.664181757,-1.457828177,-1.604768601,-0.701182839,-0.949683001,-2.180222094,-0.856924537,-2.00694972,-1.162036041,-1.693983787,-1.276799631,-1.991782871,-1.661783088,-1.317518978,-1.245224215,-0.979889751,-2.89361566,-1.287796773,-2.056712217,-1.483671722
0.964852585,1.612982117,0.895130211,1.581477889,0.39492389,1.866282597,0.28702474,0.757657884,0.758575053,1.798143141,0.730322926,1.064015993,0.976762012,1.191589662,1.232808172,1.323646413,0.529011909,1.111192926,1.957864445,0.047013213,1.227630383,0.77060132,0.682586176,1.79040564,0.825221881,0.813906633,1.640851705,1.047531775,1.576907537,0.688630905,0.581051127,1.081807927,1.773439265,0.861371973,1.246199779,1.271631928,0.985674296,1.486473387,0.680040417,1.458567271,1.040505747,1.493275894,0.969654205,0.452417106,1.309954996,1.23127104,0.14918331,0.629764832,0.536922029,1.455431585
-0.315818084,-0.926452359,-0.669353287,-1.015489632,0.188399334,-1.169511266,-0.361524935,-0.681292431,-1.114950285,-0.173816902,-0.733753849,-0.977902867,-1.120791026,-1.144821632,-0.535306383,-0.660355549,0.416364796,0.311309866,-0.245154222,-0.217894953,-1.262172767,-0.613530686,-0.392563891,0.425148414,-0.934890422,-0.839437174,-1.024366091,-0.747022934,-0.556905937,-1.196864667,-0.721102906,-0.872970757,0.096705174,-0.40348296,-0.598831211,-0.462170663,-1.327699293,-0.730230105,0.163990053,0.085122452,-1.503160136,-0.826690617,-0.308778878,-0.359396678,-0.288711566,-1.149219705,-0.850553064,-0.266511164,-0.632345751,-0.03847226
-0.166838698,0.909558836,0.768489529,0.03860585,-0.030422548,-0.150728123,1.147013721,1.000229539,-0.204187332,0.871250104,0.408973319,0.494645385,-0.290850609,0.347967523,0.235073709,0.046441097,1.315982673,0.479417099,0.229310073,0.211368403,0.005247735,-0.553797407,0.832032693,0.457971741,0.720554011,-0.14418842,-0.202712325,0.257455399,0.112271126,-0.608660112,0.371281173,-0.223827822,0.039997408,0.514274051,0.709671666,0.840427297,0.262825663,0.23031855,0.852672731,0.989935995,0.273221681,0.689538703,0.261535626,0.760186957,0.00188704,0.484054396,-0.629724796,0.460365313,0.593703512,0.504131064
0.605678351,0.884681363,0.807355477,-0.446685997,0.43602913,0.273502893,0.556796363,0.780322862,0.339889484,0.766287685,0.369388952,-0.268701783,1.544076743,0.500859735,-0.051311117,0.612605992,-0.092502083,0.624268452,0.833869071,0.577826717,-0.484418592,0.540307522,0.951017424,1.184475006,0.386596626,0.307860663,0.079287394,0.433545624,0.768363302,0.097287278,-0.354127339,0.409740294,0.781154631,0.255603962,0.78821439,1.237421196,0.592538433,0.687232093,0.727511771,0.808204167,1.551092317,-0.090246379,0.279623402,0.530374863,0.537158046,0.831571363,0.785329147,0.649055779,1.198294004,0.755540768
0.125236413,0.66328921,0.384747213,1.147422775,-0.168899497,0.566584703,0.707456645,0.437598331,0.205683791,0.064460424,-0.501646655,0.237862192,-0.557209999,-0.795905529,-0.149337037,-0.465441037,-0.059631603,-0.351112271,0.608051712,-0.025730432,-0.072687609,0.378138924,-0.012535955,0.014222648,0.361421585,0.225821796,-0.160927886,-1.380337677,-0.657235904,0.244167385,-0.041907819,0.214370093,0.276537632,-0.665040996,-0.072835555,-0.497669242,-0.735130813,-0.347030588,-0.528082257,-0.09583045,-0.060148439,-0.385315217,0.519415435,-0.470038,-0.045881964,-0.163812801,0.202098213,-0.774389134,0.112119073,0.096931501
-1.519052085,-1.812188587,-1.188595974,-1.484944071,-2.039130434,-1.772356951,-1.942212901,-2.307750776,-1.641966954,-1.594920581,-0.976068369,-2.226313392,-0.654009048,-1.743027667,-1.544726249,-1.497390176,-1.136672484,-2.294581239,-1.128525922,-1.811509136,-1.814927927,-2.066505823,-0.972285643,-1.790423691,-1.839108038,-1.961873797,-1.138949616,-1.339904263,-0.838810527,-0.412259395,-1.334111403,-2.147326119,-1.456271856,-1.489067572,-0.23557643,-2.11775729,-1.664423267,-0.840369553,-1.377788072,-1.111359308,-0.899077127,-1.123589479,-1.722209267,-1.087665114,-1.440886703,-2.26344593,-2.553330278,-1.321705303,-2.243390091,-1.640000339
0.463596291,1.325598964,2.366025217,1.65097884,0.843666189,0.606169079,0.596680591,1.059731068,0.963559184,0.487439428,0.731042428,1.15392837,1.030875741,1.510537035,1.177705997,0.83866451,1.050194893,0.404959909,1.371454566,1.267284288,1.29789283,1.460999464,0.900882742,0.702492422,1.306261691,0.958669464,0.804527869,0.640094415,2.018726234,1.205271305,1.872211581,0.125036682,0.39543768,0.796761976,0.792164073,0.809819766,1.666112319,1.147091478,1.048068019,0.901210558,0.350582873,0.593628801,1.134109103,1.302710534,0.54986463,0.783431796,0.535072252,0.146769879,0.615015419,1.303038933
0.372778922,-0.613550557,0.019743734,0.896219598,0.707912945,-0.136968235,-0.397661389,-0.127851094,0.560443122,0.444828018,0.106789103,0.233676124,-0.172163857,0.120824321,0.418309366,0.509670541,-0.651538929,0.181658541,0.32591668,0.188364232,0.113194323,0.779030254,-0.272024431,0.812567565,0.475793695,0.466526211,0.540657129,0.090393783,0.146211193,0.098841116,0.606934781,0.813967978,0.153943268,0.17329603,0.819424244,0.334275795,0.286619931,-0.142683177,0.082569381,0.268399777,-0.260061386,0.713114651,0.065604414,0.031627295,0.803442257,0.180120141,0.614545487,-0.005200117,0.823460988,0.367385085
-1.607803733,-1.872698155,-1.817249818,-2.272609517,-1.826664571,-1.535731876,-2.049843708,-1.585375435,-2.340542119,-1.765239966,-2.195315079,-2.490598713,-1.122181982,-2.887739266,-3.234822452,-1.173573464,-2.424983014,-2.573363277,-2.294756424,-1.841720463,-1.472060612,-0.979581749,-1.693744061,-1.682406061,-2.733444263,-2.1638802,-1.760034925,-2.679729896,-2.478725723,-2.575543235,-1.04743606,-2.465626643,-1.637204555,-2.486132732,-1.478765507,-1.057997481,-2.042210213,-2.582511472,-1.458323506,-2.49446954,-1.20319203,-2.576792207,-1.983211231,-1.63078188,-1.952516677,-1.644846028,-1.804683388,-1.923907501,-2.150744101,-2.211680735
